Country Name,2015,2016,2017,2018
Paraguay,73.662,73.836,73.992,74.131
West Bank and Gaza,73.442,73.589,73.74,73.895
Pacific island small states,69.44445877,69.61374193,69.77428378,69.92905797
Post-demographic dividend,80.39498001,80.54922115,80.59844147,80.659892
French Polynesia,76.787,77.024,77.251,77.462
Qatar,79.758,79.868,79.981,80.1
Romania,74.91219512,75.2097561,75.3097561,75.35853659
Russian Federation,71.18341463,71.65121951,72.43195122,72.65731707
Rwanda,67.45,67.93,68.341,68.7
South Asia,68.64190068,68.91615144,69.1713119,69.41224765
Saudi Arabia,74.651,74.761,74.874,74.998
Sudan,64.429,64.663,64.881,65.095
Senegal,66.747,67.078,67.38,67.665
Singapore,82.74390244,82.84634146,83.09512195,83.14634146
Solomon Islands,72.173,72.424,72.645,72.835
Sierra Leone,52.941,53.444,53.895,54.309
El Salvador,72.412,72.644,72.872,73.096
San Marino,,,,
Somalia,55.92,56.324,56.709,57.068
Serbia,75.28780488,75.68780488,75.53902439,75.8902439
Sub-Saharan Africa (excluding high income),59.93319295,60.42383847,60.86233564,61.25653313
South Sudan,56.855,57.12,57.365,57.604
Sub-Saharan Africa,59.95283055,60.44238734,60.88000237,61.27301465
Small states,68.61401082,68.96046273,69.27907473,69.54113266
Sao Tome and Principe,69.377,69.67,69.933,70.17
Suriname,71.249,71.358,71.463,71.57
Slovak Republic,76.56341463,77.16585366,77.16585366,77.26585366
Slovenia,80.77560976,81.17560976,81.02926829,81.37804878
Sweden,82.20487805,82.30731707,82.4097561,82.55853659
Eswatini,55.359,56.962,58.319,59.401
Sint Maarten (Dutch part),77.2195122,78.29268293,,
Seychelles,74.29512195,74.3097561,74.3,72.84146341
Syrian Arab Republic,69.908,70.315,70.967,71.779
Turks and Caicos Islands,,,,
Chad,53.137,53.438,53.712,53.977
East Asia & Pacific (IDA & IBRD countries),74.53395213,74.79361457,75.0333589,75.24922911
Europe & Central Asia (IDA & IBRD countries),73.14858138,73.50271794,73.89459647,74.0376029
Togo,59.927,60.22,60.489,60.76
Thailand,76.091,76.403,76.683,76.931
Tajikistan,70.137,70.397,70.647,70.879
Turkmenistan,67.704,67.835,67.956,68.073
Latin America & the Caribbean (IDA & IBRD countries),74.86655921,75.03057035,75.19431505,75.35738078
Timor-Leste,68.459,68.735,69.007,69.26
Middle East & North Africa (IDA & IBRD countries),72.99505261,73.19354707,73.39013107,73.58364281
Tonga,70.517,70.607,70.701,70.801
South Asia (IDA & IBRD),68.64190068,68.91615144,69.1713119,69.41224765
Sub-Saharan Africa (IDA & IBRD countries),59.95283055,60.44238734,60.88000237,61.27301465
Trinidad and Tobago,72.941,73.1,73.245,73.38
Tunisia,75.922,76.115,76.31,76.505
Turkey,76.532,76.86,77.161,77.437
Tuvalu,,,,
Tanzania,63.111,63.844,64.479,65.015
Uganda,61.373,61.986,62.516,62.973
Ukraine,71.1895122,71.47634146,71.78097561,71.58268293
Upper middle income,74.59724393,74.85838353,75.11849548,75.32897721
Uruguay,77.369,77.498,77.632,77.77
United States,78.6902439,78.53902439,78.53902439,78.53902439
Uzbekistan,70.928,71.171,71.388,71.573
St. Vincent and the Grenadines,72.095,72.193,72.3,72.415
"Venezuela, RB",72.584,72.405,72.246,72.128
British Virgin Islands,,,,
Virgin Islands (U.S.),79.16829268,79.26829268,79.4195122,79.56829268
Vietnam,75.11,75.172,75.241,75.317
Vanuatu,69.869,70.021,70.172,70.323
World,71.94740292,72.18075838,72.38557532,72.56327448
Samoa,72.73,72.895,73.046,73.187
Kosovo,71.34634146,71.64634146,71.94634146,72.19512195
"Yemen, Rep.",66.085,66.087,66.086,66.096
South Africa,62.649,63.153,63.538,63.857
Zambia,61.737,62.464,63.043,63.51
Zimbabwe,59.534,60.294,60.812,61.195
